Name,Net_Worth_USD,Height_cm,Status,Source_of_Wealth
Elon Musk,244000000000,188,Living,Technology
Jeff Bezos,194000000000,171,Living,Technology
Bernard Arnault,191000000000,175,Living,Luxury
Mark Zuckerberg,177000000000,171,Living,Technology
Bill Gates,140000000000,178,Living,Technology
Warren Buffett,133000000000,178,Living,Finance
Larry Ellison,129000000000,183,Living,Technology
Steve Ballmer,121000000000,191,Living,Technology
Larry Page,114000000000,175,Living,Technology
Sergey Brin,110000000000,175,Living,Technology
Mukesh Ambani,110000000000,175,Living,Energy
Michael Bloomberg,106000000000,175,Living,Finance
Carlos Slim,102000000000,170,Living,Telecommunications
Francoise Bettencourt,100000000000,165,Living,Cosmetics
Amancio Ortega,98000000000,170,Living,Fashion
Alice Walton,72000000000,170,Living,Retail
Rob Walton,72000000000,185,Living,Retail
Jim Walton,72000000000,180,Living,Retail
MacKenzie Scott,67000000000,170,Living,Technology
Julia Koch,64000000000,165,Living,Industrial
Charles Koch,64000000000,175,Living,Industrial
George Lucas,10000000000,170,Living,Entertainment
Christopher Rose,9143423387,161.94,Living,Telecommunications
Paul Campbell,8924650243,174.46,Living,Fashion
David M. Kim III,8176500368,201.57,Deceased,Insurance
Kevin Peterson,8056660527,205.73,Deceased,Mining
Steven Spielberg,8000000000,170,Living,Entertainment
Stephen Ortiz,6552029308,204.88,Living,Telecommunications
Alexander Johnson,5366647646,171.56,Living,Aerospace
Mason Kennedy,5047025623,179.75,Deceased,Sports
Jesse Torres,4726708502,183.77,Living,Real Estate
Aaron Murphy,4703322261,164.47,Living,Entertainment
David Vasquez,4111617297,183.01,Deceased,Agriculture
Mason Brown,3894158490,172.64,Deceased,Banking
Ethan Daniels,3727219878,178.05,Living,Retail
Kyle Butler,3628956371,166.08,Living,Food & Beverage
Peter T. Wilson,3434331677,170.41,Living,Pharmaceuticals
Alexander Wells,3430299384,161.13,Living,Finance
Michael Jordan,3200000000,198,Living,Sports
Oprah Winfrey,3200000000,170,Living,Entertainment
James Ellis,3186063595,204.0,Living,Sports
Jack Jordan,3179928585,166.4,Deceased,Oil & Gas
Richard Hernandez,2718177527,178.48,Deceased,Oil & Gas
Jay-Z,2500000000,185,Living,Entertainment
Patrick Russell,2262239788,194.64,Deceased,Pharmaceuticals
Johnny Russell,2094655922,168.02,Living,Mining
Kanye West,2000000000,173,Living,Entertainment
Larry Tucker,1648834075,209.32,Deceased,Technology
Rihanna,1400000000,173,Living,Entertainment
Philip Stone,1394835999,161.44,Deceased,Sports
Christian Matthews,1341211507,183.86,Deceased,Mining
Steven Reyes Jr.,1253539533,197.05,Deceased,Technology
Alexander Flores,1219270739,154.36,Living,Energy
Taylor Swift,1200000000,180,Living,Entertainment
Jack Franklin,1197586528,154.03,Deceased,Manufacturing
Adam Price,1168417482,171.89,Living,Sports
Scott Pierce,1101015851,203.89,Deceased,Construction
Diddy,1000000000,175,Living,Entertainment
Dr. Dre,1000000000,191,Living,Entertainment
LeBron James,1000000000,206,Living,Sports
Tyler Perry,1000000000,191,Living,Entertainment
Michael Torres,979016767,182.21,Deceased,Luxury
Michael Willis,960280213,166.03,Deceased,Food & Beverage
Matthew Morgan,958207394,198.7,Deceased,Real Estate
Roy O. Stewart,901629295,155.46,Living,Mining
Carl Hughes,878304103,156.33,Living,Construction
Brandon Crawford,860215593,174.88,Deceased,Food & Beverage
